"Date Printed: Tuesday, June 6, 2023 11:21:49 AM"
Title: "HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | Asian | Black/African American | Hispanic/Latino | White | Female | Male | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2018","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","44","42.7","103,025"
"HIV diagnoses","2018","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","87,181"
"HIV diagnoses","2018","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","3","4.1","72,684"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","12","0.7","1,664,361"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","192","11.5","1,664,634"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","13","2.9","452,257"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","141","30.1","469,068"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","15","17.7","84,980"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","37","36.8","100,544"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","84,092"
"HIV diagnoses","2017","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","7","10.1","69,621"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","16","1.0","1,646,168"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","174","10.6","1,642,964"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","7","1.6","440,166"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","146","32.0","456,338"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","22","26.3","83,571"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","35","35.5","98,526"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","2","2.5","81,228"
"HIV diagnoses","2016","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","2","3.0","66,881"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","13","0.8","1,623,576"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","164","10.1","1,616,117"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","15","3.5","428,435"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","107","24.1","443,459"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","22","26.9","81,766"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","36","37.6","95,838"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","1","1.3","77,881"
"HIV diagnoses","2015","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","1","1.6","63,863"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","19","1.2","1,599,430"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","159","10.0","1,586,833"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","12","2.9","416,214"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","101","23.5","429,837"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","16","20.1","79,749"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","51","54.9","92,979"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","1","1.4","73,953"
"HIV diagnoses","2014","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","6","9.9","60,524"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","14","0.9","1,579,974"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","130","8.3","1,563,506"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","10","2.5","405,103"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","87","20.8","418,196"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","13","16.7","77,822"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","39","43.5","89,758"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","3","4.2","70,878"
"HIV diagnoses","2013","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","5","8.6","57,839"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","14","0.9","1,560,376"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","164","10.6","1,540,672"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","13","3.3","394,457"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","105","25.7","407,902"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","20","26.4","75,747"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","33","38.0","86,946"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","3","4.4","68,110"
"HIV diagnoses","2012","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","1","1.8","55,545"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","16","1.0","1,542,212"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","173","11.4","1,520,948"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","12","3.1","384,488"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","97","24.3","398,805"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","16","21.7","73,833"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","32","37.8","84,760"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","65,386"
"HIV diagnoses","2011","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","5","9.4","53,333"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","10","0.7","1,524,470"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","213","14.2","1,503,248"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","15","4.0","373,264"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","87","22.4","387,956"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","29","40.2","72,157"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","46","55.5","82,857"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","2","3.2","62,700"
"HIV diagnoses","2010","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","6","11.7","51,380"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","14","0.9","1,530,088"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","166","11.0","1,505,940"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","9","2.6","347,167"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","108","27.9","387,071"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","19","26.0","73,148"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","34","40.9","83,111"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","2","3.5","56,799"
"HIV diagnoses","2009","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","6","12.2","49,252"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","White","Female","All transmission categories","13","0.9","1,511,005"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","White","Male","All transmission categories","196","13.2","1,485,802"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","16","4.7","336,947"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","118","31.4","375,809"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","Black/African American","Female","All transmission categories","24","33.7","71,271"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","Black/African American","Male","All transmission categories","37","45.8","80,736"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","Asian","Female","All transmission categories","2","3.6","54,943"
"HIV diagnoses","2008","Colorado","08","Ages 13 years and older","Asian","Male","All transmission categories","6","12.6","47,675"
"HIV diagnoses","2021","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","14","1.3","1,062,501"
"HIV diagnoses","2021","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","55","5.4","1,014,168"
"HIV diagnoses","2021","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","10","4.0","253,115"
"HIV diagnoses","2021","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","64","25.8","248,000"
"HIV diagnoses","2021","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","24","14.1","170,317"
"HIV diagnoses","2021","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","60","39.0","153,974"
"HIV diagnoses","2021","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","1","1.3","77,758"
"HIV diagnoses","2021","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","3","4.2","72,162"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","8","0.7","1,067,592"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","43","4.2","1,018,579"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","14","5.7","246,095"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","46","19.0","241,815"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","22","13.1","167,777"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","34","22.5","151,403"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","76,559"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","2","2.8","71,345"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","17","1.6","1,077,460"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","39","3.9","1,011,139"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","8","3.4","237,309"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","45","19.5","231,171"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","23","14.0","164,573"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","71","48.5","146,464"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","75,206"
"HIV diagnoses","2019","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","7","10.1","69,385"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","14","1.3","1,087,968"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","62","6.1","1,020,771"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","13","5.6","232,311"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","57","25.2","226,593"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","28","17.2","162,414"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","74","51.2","144,432"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","74,034"
"HIV diagnoses","2018","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","2","2.9","68,284"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","14","1.3","1,097,688"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","60","5.8","1,029,506"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","14","6.2","224,487"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","72","32.8","219,689"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","46","28.7","160,306"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","61","42.7","142,894"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","1","1.4","72,548"
"HIV diagnoses","2017","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","3","4.5","66,625"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","3","0.3","1,107,824"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","64","6.2","1,037,614"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","14","6.4","218,080"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","60","28.0","214,221"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","32","20.2","158,565"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","73","51.6","141,457"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","3","4.2","71,064"
"HIV diagnoses","2016","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","1","1.5","65,334"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","9","0.8","1,117,915"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","73","7.0","1,046,332"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","18","8.5","212,689"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","67","32.0","209,441"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","35","22.3","157,033"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","61","43.5","140,177"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","3","4.3","69,368"
"HIV diagnoses","2015","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","3","4.7","63,960"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","8","0.7","1,127,907"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","68","6.4","1,054,683"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","15","7.2","207,643"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","61","29.8","204,666"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","52","33.5","155,366"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","76","54.8","138,729"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","3","4.5","67,288"
"HIV diagnoses","2014","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","2","3.2","61,668"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","17","1.5","1,135,387"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","77","7.3","1,060,297"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","19","9.4","202,359"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","79","39.6","199,266"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","33","21.5","153,723"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","89","64.8","137,249"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","64,335"
"HIV diagnoses","2013","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","2","3.4","58,936"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","5","0.4","1,140,971"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","67","6.3","1,064,251"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","26","13.2","196,556"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","63","32.6","193,321"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","41","27.0","151,742"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","77","57.1","134,753"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","62,996"
"HIV diagnoses","2012","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","4","6.9","57,927"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","12","1.0","1,146,428"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","88","8.2","1,066,999"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","36","18.9","190,196"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","73","39.0","187,295"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","41","27.4","149,888"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","83","62.6","132,638"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","2","3.3","60,123"
"HIV diagnoses","2011","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","2","3.6","55,854"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","21","1.8","1,150,136"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","102","9.5","1,068,579"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","30","16.3","183,875"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","74","40.8","181,169"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","58","39.2","148,039"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","86","65.8","130,687"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","57,806"
"HIV diagnoses","2010","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","2","3.7","53,927"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","14","1.2","1,152,034"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","81","7.6","1,069,585"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","18","11.1","161,965"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","74","44.8","165,334"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","51","35.9","142,055"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","87","68.8","126,451"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","1","2.0","50,492"
"HIV diagnoses","2009","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","5","10.1","49,287"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","White","Female","All transmission categories","22","1.9","1,152,952"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","White","Male","All transmission categories","71","6.6","1,068,689"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","28","17.9","156,511"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","80","50.2","159,228"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","Black/African American","Female","All transmission categories","50","35.6","140,351"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","Black/African American","Male","All transmission categories","80","64.2","124,631"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","Asian","Female","All transmission categories","1","2.1","48,697"
"HIV diagnoses","2008","Connecticut","09","Ages 13 years and older","Asian","Male","All transmission categories","6","12.5","47,864"
"HIV diagnoses","2021","Delaware","10","Ages 13 years and older","White","Female","All transmission categories","5","1.8","279,878"
"HIV diagnoses","2021","Delaware","10","Ages 13 years and older","White","Male","All transmission categories","16","6.1","260,762"
"HIV diagnoses","2021","Delaware","10","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","2","5.4","36,819"
"HIV diagnoses","2021","Delaware","10","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","10","26.0","38,479"
"HIV diagnoses","2021","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","11","11.0","99,605"
"HIV diagnoses","2021","Delaware","10","Ages 13 years and older","Black/African American","Male","All transmission categories","33","37.9","87,105"
"HIV diagnoses","2021","Delaware","10","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","17,837"
"HIV diagnoses","2021","Delaware","10","Ages 13 years and older","Asian","Male","All transmission categories","2","11.8","17,020"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","White","Female","All transmission categories","4","1.4","277,166"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","White","Male","All transmission categories","22","8.5","258,836"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","2","5.7","35,358"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","11","29.6","37,173"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","10","10.3","97,477"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","Black/African American","Male","All transmission categories","40","46.9","85,377"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","17,542"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","16,740"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","White","Female","All transmission categories","6","2.2","276,875"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","White","Male","All transmission categories","16","6.3","255,204"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","3.0","33,673"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","6","17.0","35,243"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","17","17.8","95,524"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","Black/African American","Male","All transmission categories","45","54.5","82,624"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","17,160"
"HIV diagnoses","2019","Delaware","10","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","16,424"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","White","Female","All transmission categories","2","0.7","275,447"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","White","Male","All transmission categories","18","7.1","254,238"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","2","6.2","32,432"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","10","29.2","34,221"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","Black/African American","Female","All transmission categories","18","19.2","93,685"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","Black/African American","Male","All transmission categories","40","49.3","81,118"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","16,617"
"HIV diagnoses","2018","Delaware","10","Ages 13 years and older","Asian","Male","All transmission categories","1","6.3","15,807"
